# id	left	top	right	bottom	texture_id
[SPRITES]
#Pink
91000	919	137	934	152	30
92000	936	137	951	152	30
93000	953	137	968	152	30
94000	919	154	934	169	30
95000	936	154	951	169	30
96000	953	154	968	169	30
97000	919	171	934	186	30
98000	936	171	951	186	30
99000	953	171	968	186	30

#Blue
91100	970	137	985	152	30
92100	987	137	1002	152	30
93100	1004	137	1019	152	30
94100	970	154	985	169	30
95100	987	154	1002	169	30
96100	1004	154	1019	169	30
97100	970	171	985	186	30
98100	987	171	1002	186	30
99100	1004	171	1019	186	30

#Green
91200	919	188	934	203	30
92200	936	188	951	203	30
93200	953	188	968	203	30
94200	919	205	934	220	30
95200	936	205	951	220	30
96200	953	205	968	220	30
97200	919	222	934	237	30
98200	936	222	951	237	30
99200	953	222	968	237	30

#White
91300	970	188	985	203	30
92300	987	188	1002	203	30
93300	1004	188	1019	203	30
94300	970	205	985	220	30
95300	987	205	1002	220	30
96300	1004	205	1019	220	30
97300	970	222	985	237	30
98300	987	222	1002	237	30
99300	1004	222	1019	237	30


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
